participant_id,condition,attention_check,accuracy,rt
1,Treatment,0,0.8535631198205136,610
2,Control,0,0.7182652479154615,917
3,Treatment,1,0.947816752636428,739
4,Control,1,0.649689544567866,689
5,Treatment,1,0.8982204688262918,3200
6,Control,1,0.766022184688782,680
7,Treatment,1,0.7685429061729763,469
8,Control,1,0.6990549872419941,697
9,Treatment,1,0.8338301352392976,440
10,Control,0,0.8998776040632799,4500
11,Treatment,1,1,786
12,Control,1,0.7537767141755144,889
13,Treatment,0,0.88024309248682,494
14,Control,1,0.6718171529335872,582
15,Treatment,1,0.9288140622823555,610
16,Control,0,0.9281787019564257,764
17,Treatment,0,0.7550819190312389,366
18,Control,1,0.4662436906320223,720
19,Treatment,1,1,669
20,Control,1,0.7381237036959547,522
21,Treatment,0,0.7620163471468895,512
22,Control,1,0.7129932118901765,579
23,Treatment,0,0.7795448634044957,516
24,Control,0,0.7274088496858481,617
25,Treatment,1,0.8448336887527526,643
